word,x,y,z
BALANCE,-0.1932506,0.5238841,0.0119554
BALANCE,-0.1935483,0.5235806,0.0230216
BALANCE,-0.1990162,0.5226218,0.0332538
BALANCE,-0.2013237,0.5204396,0.0443033
BALANCE,-0.2026252,0.5192302,0.0557225
BALANCE,-0.2028075,0.5183877,0.0666531
BALANCE,-0.2031665,0.5140889,0.07805
BALANCE,-0.2056434,0.5133718,0.08892269
BALANCE,-0.2079739,0.516056,0.09995639
BALANCE,-0.2072084,0.5170146,0.1115268
BALANCE,-0.206711,0.5183825,0.1223703
BALANCE,-0.2012433,0.5167351,0.1333422
BALANCE,-0.2015218,0.5181288,0.1452101
BALANCE,-0.2019783,0.5210839,0.1565837
BALANCE,-0.2040281,0.5238311,0.1665492
BALANCE,-0.2084661,0.5320975,0.1781524
BALANCE,-0.2026055,0.5345922,0.1889403
BALANCE,-0.2044577,0.5415383,0.1999992
BALANCE,-0.192304,0.5435105,0.2111557
BALANCE,-0.1866032,0.529181,0.2223237
BALANCE,-0.159933,0.5312783,0.2332825
BALANCE,-0.1504035,0.5292156,0.2446041
BALANCE,-0.1497306,0.5292557,0.2556814
BALANCE,-0.15257,0.525707,0.2666356
BALANCE,-0.1659952,0.5078247,0.2778411
BALANCE,-0.1782002,0.5077024,0.2887915
BALANCE,-0.1842303,0.5123535,0.2998704
BALANCE,-0.1902027,0.5135238,0.3113504
BALANCE,-0.1899362,0.5224632,0.3222007
BALANCE,-0.1827452,0.5225887,0.3342525
BALANCE,-0.1532717,0.5086341,0.3452042
BALANCE,-0.149106,0.5072451,0.3557002
BALANCE,-0.151521,0.5122555,0.3668737
BALANCE,-0.1637586,0.5142874,0.3782659
BALANCE,-0.1760951,0.5190805,0.3887191
BALANCE,-0.1931586,0.5194877,0.3999228
BALANCE,-0.1965638,0.5221295,0.4112836
BALANCE,-0.1941472,0.5198267,0.4226528
BALANCE,-0.1915205,0.5291144,0.4334557
BALANCE,-0.1928656,0.5275621,0.4444415
BALANCE,-0.1899308,0.5302998,0.4554793
BALANCE,-0.1960046,0.5285799,0.4666155
BALANCE,-0.196113,0.5273037,0.4779959
BALANCE,-0.197852,0.5261319,0.4893835
BALANCE,-0.1943283,0.5272535,0.5002154
BALANCE,-0.1946267,0.5265431,0.5110697
BALANCE,-0.1952872,0.5257142,0.5225269
