,word,count,log_count
0,the,23135851162,23.86464924972434
1,of,13151942776,23.299835324277534
2,and,12997637966,23.28803348297635
3,to,12136980858,23.219522897908643
5,in,8469404971,22.8597260917849
6,for,5933321709,22.503850046417117
7,is,4705743816,22.272049688030737
8,on,3750423199,22.04513452362797
9,that,3400031103,21.94705041646786
10,by,3350048871,21.932240771035186
11,this,3228469771,21.895274106815208
12,with,3183110675,21.881124755298494
14,you,2996181025,21.820604323005675
15,it,2813163874,21.757575620711815
16,not,2633487141,21.69157471402028
17,or,2590739907,21.67520935023794
18,be,2398724162,21.59820283378471
19,are,2393614870,21.596070558124868
20,from,2275595356,21.54550755005823
21,at,2272272772,21.54404638869751
22,as,2247431740,21.53305395232491
23,your,2062066547,21.446974495056303
24,all,2022459848,21.427580354042252
25,have,1564202750,21.17064210621744
26,new,1551258643,21.162332466103347
27,more,1544771673,21.1581419519089
28,an,1518266684,21.14083518164914
29,was,1483428678,21.117621919694123
30,we,1390661912,21.05304566642728
31,will,1356293641,21.028021552431206
32,home,1276852170,20.96766364378748
33,can,1242323499,20.940249252725845
34,us,1229112622,20.92955830043522
35,about,1226734006,20.927621195148053
36,if,1134987907,20.849887833197467
37,page,1082121730,20.802189515663603
38,my,1059793441,20.781339859100218
39,has,1046319984,20.76854506785348
40,search,1024093118,20.747073294976214
41,free,1014107316,20.737274570834874
42,but,999899654,20.723165485911416
43,our,998757982,20.72202304700281
44,one,993536631,20.716781489935723
45,other,978481319,20.70151225315163
46,do,950751722,20.672763515972687
47,no,937112320,20.658313704950327
48,information,932594387,20.653480923662865
49,time,908705570,20.62753169428253
50,they,883223816,20.59908919870325
51,site,844310242,20.55403057032536
52,he,842847219,20.55229626466566
53,up,829969374,20.53689935927896
54,may,827822032,20.534308752049157
55,what,812395582,20.515497949447937
56,which,810514085,20.513179277150634
57,their,782849411,20.478450912342396
58,news,755424983,20.442791040240092
59,out,741601852,20.42432306951593
60,use,719980257,20.394734348765084
61,any,710741293,20.38181905798067
62,there,701170205,20.368261218665328
63,see,681410380,20.339675296418232
64,only,661844114,20.31054060883075
65,so,661809559,20.31048839728824
66,his,660177731,20.308019646126805
67,when,650621178,20.29343812296467
68,contact,645824184,20.28603786371364
69,here,639711198,20.27652737934766
70,business,637134177,20.27249083028767
71,who,630927278,20.262701165052423
72,web,619571575,20.24453878908278
73,also,616829742,20.240103598895214
74,now,611387736,20.23124190833857
75,help,611054034,20.230695948577576
76,get,605984508,20.222364979350377
77,pm,604577485,20.220040400119036
78,view,602279334,20.21623190562054
79,online,601317059,20.214632905805274
82,first,578161543,20.17536387374684
83,am,576436203,20.172375228930573
84,been,575019382,20.169914306019617
85,would,572644147,20.165775046852946
