,word,count,log_count
0,iran,515,6.244166900663736
1,nuclear,613,6.418364935936212
2,program,2389,7.77863014732581
3,talks,338,5.823045895483019
4,photo,1387,7.234898420314831
5,updated,144,4.969813299576001
6,nov,302,5.71042701737487
7,is,94201,11.45318607621936
8,one,27128,10.208321683805474
9,of,218668,12.295309876800502
10,the,462883,13.045229601350384
11,most,9474,9.156306483483696
12,issues,1679,7.425953657077541
13,in,154602,11.94860935166239
14,world,6737,8.81537000096066
15,volatile,52,3.9512437185814275
16,regions,187,5.231108616854587
17,while,6182,8.729397122692061
18,american,4313,8.369388996647842
19,and,232584,12.357006729082496
20,european,744,6.612041034833092
21,officials,1179,7.072421900537371
22,believe,3611,8.191740021277457
23,tehran,28,3.332204510175204
24,planning,679,6.520621127558696
25,to,238874,12.38369149524391
26,build,894,6.795705775173514
27,weapons,538,6.2878585601617845
28,leadership,526,6.26530121273771
29,says,7923,8.977525200965243
30,that,124059,11.72851253787879
31,its,10732,9.280985211545515
32,goal,781,6.660575149839686
33,developing,493,6.20050917404269
34,a,206816,12.239584788062622
35,generate,220,5.393627546352362
36,electricity,247,5.5093883366279774
37,without,4166,8.334711621820917
38,dipping,53,3.970291913552122
39,into,13654,9.521787797978225
40,oil,1506,7.317212408359839
41,supply,455,6.12029741895095
42,it,104072,11.552838246281395
43,prefers,50,3.912023005428146
44,sell,748,6.617402977974478
45,abroad,193,5.262690188904886
46,provide,1546,7.343426229147367
47,fuel,540,6.29156913955832
48,for,79002,11.277228447584399
49,medical,1186,7.078341579557671
50,west,1473,7.29505641646263
51,have,47011,10.758136895861702
52,been,17483,9.76898425919765
53,at,42245,10.651241282586945
54,odds,244,5.497168225293202
55,over,12302,9.417517129768314
56,years,9935,9.203819154985917
57,but,42634,10.66040733599314
58,dispute,121,4.795790545596741
59,has,22791,10.034121000171332
60,picked,555,6.318968113746434
61,up,22668,10.02870951728951
62,steam,191,5.25227342804663
63,since,4887,8.494333897270154
64,november,1039,6.946013991099227
65,with,59800,10.998760939938723
66,new,12863,9.462110252078716
67,findings,419,6.037870919922137
68,by,32861,10.400041823264546
69,international,1472,7.294377299288821
70,inspectors,67,4.204692619390966
71,tougher,97,4.574710978503383
72,sanctions,178,5.181783550292085
73,united,2735,7.913886714856082
74,states,3473,8.152774052744075
75,europe,834,6.726233402358747
76,against,4196,8.341886969516187
77,exports,130,4.867534450455582
78,threats,207,5.332718793265369
79,shut,746,6.61472560020376
80,strait,31,3.4339872044851463
81,from,34702,10.454552601161618
82,israel,621,6.431331081933479
83,signaling,40,3.6888794541139363
84,increasing,459,6.129050210060545
85,readiness,74,4.30406509320417
86,attack,921,6.825460036255307
87,facilities,281,5.638354669333745
88,late,1908,7.553810852008231
89,august,657,6.48768401848461
90,reported,1227,7.112327444710911
91,had,25676,10.153311982431669
92,already,2900,7.9724660159745655
93,installed,166,5.111987788356544
94,three,5769,8.660254034256889
95,quarters,132,4.882801922586371
96,needs,1937,7.5688956634069955
97,complete,1008,6.915723448631314
98,deep,1122,7.022868086082641
99,underground,172,5.147494476813453
100,site,1378,7.228388451573604
101,production,827,6.717804695023691
102,how,16157,9.69010867127683
103,used,4409,8.391403185357937
104,summer,1078,6.982862751468942
105,double,654,6.483107351457199
106,number,3166,8.060224240440958
107,under,3859,8.258163361537619
108,mountain,472,6.156978985585555
109,near,1381,7.2305631534092925
110,holy,410,6.016157159698354
111,city,3566,8.179199798423086
112,cleansing,33,3.4965075614664802
113,another,5636,8.636929873018572
114,where,10067,9.217018026729423
115,agency,710,6.565264970035361
116,said,18678,9.835101639669663
117,suspects,143,4.962844630259907
118,country,3845,8.254528881939745
119,conducted,394,5.976350909297934
120,explosive,92,4.5217885770490405
121,experiments,141,4.948759890378168
122,could,14372,9.573037148233409
123,be,46709,10.751692144575056
124,relevant,360,5.886104031450156
125,weapon,265,5.579729825986222
126,pushing,284,5.648974238161206
127,take,8238,9.016512874996026
128,military,1700,7.438383530044307
129,action,1429,7.264730177929867
130,damage,506,6.226536669287466
131,before,7593,8.934982049213234
132,reaches,183,5.209486152841421
133,point,4244,8.353261499733874
134,which,14937,9.611596635310292
135,capability,79,4.3694478524670215
136,make,9639,9.173572647783969
137,an,28691,10.264338763718273
138,atomic,100,4.605170185988092
139,bomb,300,5.703782474656201
140,or,32280,10.382203122383885
141,give,4260,8.357024439263416
142,green,1246,7.1276936993473985
143,light,2130,7.6638772587034705
144,launch,290,5.66988092298052
145,own,5845,8.67334187390617
146,president,4590,8.431635303054591
147,obama,2429,7.795234929002173
148,rejected,198,5.288267030694535
149,israeli,301,5.707110264748875
150,call,3586,8.184792654165078
151,red,1567,7.356918242356021
152,line,2464,7.80954132465341
153,speech,784,6.664409020350408
154,nations,680,6.522092798170152
155,on,65490,11.089652738212099
156,sept,300,5.703782474656201
157,he,57779,10.964380666843805
158,repeated,273,5.60947179518496
159,his,33609,10.422549167226833
160,position,1254,7.134093721192866
161,would,21669,9.983637946718957
162,work,7511,8.924123891686012
163,prevent,456,6.1224928095143865
164,gaining,116,4.7535901911063645
165,republican,1179,7.072421900537371
166,challenger,73,4.290459441148391
167,mitt,372,5.918893854273146
168,romney,1522,7.3277805384216315
169,sharply,108,4.68213122712422
170,critical,739,6.6052979209482015
171,not,44061,10.693330316421973
172,taking,2062,7.631431664576906
173,tough,714,6.570882962339584
174,enough,3617,8.193400231952097
175,supporting,326,5.786897381366708
176,strongly,319,5.765191102784844
177,agreed,552,6.313548046277095
178,say,9063,9.111955470054781
179,principle,251,5.5254529391317835
180,first,10909,9.297343415597757
181,time,16973,9.739379125161532
182,negotiations,186,5.225746673713202
183,according,1937,7.5688956634069955
184,administration,1170,7.064759027791802
185,setting,735,6.5998704992128365
186,stage,771,6.647688373563329
187,what,35786,10.485312034451807
188,last,6778,8.821437352166997
189,ditch,68,4.219507705176107
190,diplomatic,275,5.616771097666572
191,effort,895,6.796823718274855
192,avert,26,3.258096538021482
193,strike,316,5.755742213586912
194,iranian,121,4.795790545596741
195,insisted,215,5.3706380281276624
196,wait,2097,7.64826303090192
197,until,3737,8.226038429485484
198,after,10307,9.240578555036793
199,presidential,593,6.385194398997726
200,election,1220,7.106606137727303
201,senior,676,6.516193076042964
202,official,710,6.565264970035361
203,telling,949,6.855408798609928
204,their,23236,10.053458079112422
205,counterparts,90,4.499809670330265
206,they,42499,10.657235825223923
207,want,9832,9.19339765124587
208,know,18882,9.845964366292462
209,whom,723,6.583409222158765
210,negotiating,84,4.430816798843313
211,report,1837,7.515889085215125
212,asserted,37,3.6109179126442243
213,was,64461,11.073815668745837
214,set,3022,8.013674142832684
215,expand,222,5.402677381872279
216,uranium,53,3.970291913552122
